,0
937,1709.08103
938,1607.07702
939,2002.02710
940,1610.08123
941,1804.00645
942,1801.04457
943,1411.2139
944,1703.00320
945,2002.12854
946,1208.4766
947,1904.08548
948,1912.11699
949,1606.00511
950,1209.0424
951,1209.5991
952,1904.07736
953,1810.07180
954,1906.07150
955,1909.03534
956,1707.02919
957,1908.04673
958,1104.2355
959,1904.01778
960,1508.00347
961,2002.07936
962,1806.09683
963,1809.04957
964,1809.02306
965,1803.00607
966,1711.00698
967,1604.06498
968,1412.7022
969,1610.01959
970,1604.02612
971,1701.00757
972,1806.07135
973,1910.08143
974,0807.2330
975,1812.11194
976,1309.3242
977,1810.11641
978,1708.06693
979,1906.04329
980,1812.03699
981,1803.01255
982,1811.06272
983,1811.04485
984,cond-mat0103328
985,1610.02984
986,1503.05479
987,1701.04901
988,1902.07264
989,1912.01500
990,1609.05140
991,1601.05100
992,1610.01238
993,1710.02804
994,2004.00267
995,1705.02403
996,1402.2127
997,1710.02896
998,2007.04842
999,1705.02268
1000,1602.06823
1001,1805.00847
1002,2002.12510
1003,1903.09623
1004,1910.08262
1005,1905.05252
1006,1811.09938
1007,1910.04332
1008,1608.04437
1009,1401.0765
1010,1611.06632
1011,1501.03063
1012,1107.3133
1013,2001.01963
1014,1804.04402
1015,1107.4035
1016,1805.08718
1017,1610.06449
1018,2004.06215
1019,1802.05803
1020,2002.00125
1021,1903.00237
1022,1910.06310
1023,1208.3719
1024,1806.09792
1025,1612.03365
1026,2007.04728
1027,1811.00472
1028,1207.5072
1029,1812.06140
1030,2004.07427
1031,1303.5659
1032,1907.07766
1033,1506.00484
1034,1906.05253
1035,1708.01681
1036,1509.09236
1037,1705.05727
1038,1802.07389
1039,1802.03116
1040,1804.09341
1041,1805.07398
1042,1912.04226
1043,1109.0556
1044,1810.12806
1045,1312.6832
1046,1712.00009
1047,1907.07010
1048,1805.11436
1049,1708.02354
1050,1303.7000
1051,1611.07682
1052,0704.3199
1053,2001.09022
1054,2004.08176
1055,1904.05657
1056,1905.05665
1057,2006.13256
1058,1807.00944
1059,1604.00066
1060,1607.02335
1061,1808.03107
1062,1906.03450
1063,1204.4431
1064,1705.05020
1065,1911.11260
1066,1808.06013
1067,1806.02863
1068,1810.02442
1069,1509.03502
1070,2004.05286
1071,1704.05027
1072,1703.06494
1073,1801.01281
1074,1403.2864
1075,2005.12518
1076,2002.09080
1077,1511.06359
1078,2003.14309
1079,1303.0446
1080,2006.04762
1081,1503.05317
1082,1412.7834
1083,1710.08377
1084,1901.06681
1085,1904.04975
1086,1411.0740
1087,1904.06849
1088,1404.4661
1089,1307.7451
1090,1910.05839
1091,1201.0160
1092,1910.04536
1093,1611.04413
1094,1611.08986
1095,1703.00785
1096,1710.08336
1097,1502.03986
1098,1611.02655
1099,1011.0219
1100,cs0611120
1101,1712.01487
1102,1605.06886
1103,1810.10369
1104,1710.10177
1105,1409.3207
1106,1709.08074
1107,1505.06389
1108,2004.14299
1109,1901.00826
1110,1806.09652
1111,1606.00548
1112,2004.09621
1113,1704.08812
1114,1412.5967
1115,1907.01693
1116,1909.03621
1117,1812.11314
1118,1810.10826
1119,1407.5659
1120,2002.05691
1121,1708.01977
1122,1912.13371
1123,1202.5249
1124,1806.03223
1125,1502.04691
1126,1910.04810
1127,1711.03826
1128,1108.0128
1129,1804.08473
1130,1612.06140
1131,1305.6721
1132,1008.1668
1133,2002.10399
1134,1807.08583
1135,1607.07995
1136,1309.3297
1137,2007.13221
1138,1908.03786
1139,2003.05188
1140,1809.09842
1141,1908.09032
1142,1712.04143
1143,1904.11564
1144,1806.01710
1145,1907.09475
1146,1605.09779
1147,1707.03611
1148,cs0408007
1149,1705.02703
1150,1610.09089
1151,1110.3695
1152,1305.5617
1153,1908.08011
1154,2007.15520
1155,2004.08160
1156,1908.00382
1157,1802.01468
1158,1910.04150
1159,1605.09362
1160,1611.03060
1161,1705.00797
1162,1703.03078
1163,1906.07859
1164,1307.1252
1165,1610.06370
1166,1910.10451
1167,1809.06141
1168,1612.08083
1169,1508.01158
1170,1807.06572
1171,1611.09304
1172,1812.09746
1173,1511.01782
1174,1703.04368
1175,1205.0960
1176,1509.01377
1177,1812.11794
1178,1906.04832
1179,2005.04293
1180,1304.0786
1181,1506.03471
1182,1905.06023
1183,1412.8341
1184,2002.05477
1185,1805.11706
1186,1912.01411
1187,1707.04780
1188,1605.02240
1189,1802.02700
1190,1712.08730
1191,1906.09510
1192,1508.02674
1193,1508.02133
1194,1504.02437
1195,1301.0722
1196,1807.08354
1197,1812.10582
1198,1803.00162
1199,1305.1609
1200,2006.07733
1201,1811.06225
1202,1710.02369
1203,1610.07328
1204,1911.08528
1205,1605.08512
1206,2003.02866
1207,1410.3512
1208,cs0606092
1209,1908.03864
1210,1102.0250
1211,2004.01712
1212,1508.01055
1213,1405.2329
1214,1909.09999
1215,1910.13850
1216,1710.02277
1217,2007.12173
1218,1210.3234
1219,2002.07264
1220,1506.06440
1221,1108.2349
1222,2003.05689
1223,1804.07045
1224,1812.09674
1225,1405.1436
1226,1403.3286
1227,1204.5721
1228,1310.6670
1229,1308.0971
1230,1807.08350
1231,1704.03013
1232,1908.08927
1233,1709.07224
1234,1903.09339
1235,1811.00051
1236,1811.06067
1237,1710.04826
1238,2007.00320
1239,2007.11270
1240,1901.04693
1241,1608.07383
1242,1910.01240
1243,1807.03858
1244,1610.08763
1245,1807.04083
1246,1805.03784
1247,1907.05094
1248,1010.0654
1249,2002.09790
1250,1907.07578
1251,1510.03955
1252,1712.03890
1253,1807.07665
1254,1606.07902
1255,1710.00644
1256,2007.15780
1257,1403.2123
1258,1910.06116
1259,1805.08342
1260,1712.04595
1261,2007.13977
1262,1704.03738
1263,1703.04280
1264,2005.00935
1265,1702.03105
1266,1904.01033
1267,1704.03568
1268,1609.02075
1269,2007.08176
1270,2005.13953
1271,1707.03848
1272,1708.08587
1273,1903.03837
1274,2006.08344
1275,1707.04402
1276,1810.05943
1277,1811.05100
1278,1903.00091
1279,1705.07445
1280,1702.01105
1281,1912.00074
1282,1907.03030
1283,2005.07383
1284,1801.00776
1285,1701.07123
1286,1905.11620
1287,1102.0885
1288,1709.01442
1289,1604.06223
1290,2003.03507
1291,1909.04121
1292,1902.07526
1293,1611.09048
1294,cs0509040
1295,1501.05595
1296,2007.04428
1297,1211.3297
1298,1308.3272
1299,1908.09125
1300,1605.01501
1301,1909.09505
1302,2004.10019
1303,1809.08809
1304,1611.00945
1305,1808.10016
1306,1801.00753
1307,2006.08880
1308,2007.10139
1309,1905.11256
1310,1405.1523
1311,2006.07998
1312,1304.0001
1313,1710.09756
1314,1910.01903
1315,1911.08712
1316,1305.3706
1317,1906.01166
1318,1703.07036
1319,1801.07230
1320,1302.3741
1321,1704.00853
1322,1808.04757
1323,1103.0711
1324,1910.01919
1325,1502.02852
1326,1910.12278
1327,1412.3538
1328,1709.09876
1329,2005.01778
1330,1510.07713
1331,1210.3569
1332,1703.07089
1333,1904.02683
1334,1803.01261
1335,1803.07180
1336,1109.4909
1337,2007.09655
1338,1609.04861
1339,1908.00682
1340,1907.12393
1341,2004.05729
1342,1212.0254
1343,2003.04073
1344,1803.02988
1345,1803.09470
1346,1909.00134
1347,1705.10962
1348,1609.09796
1349,1604.03410
1350,1602.04792
1351,1809.03100
1352,1809.10330
1353,1811.12783
1354,1707.03093
1355,1507.05964
1356,1902.08128
1357,1602.01871
1358,1710.10523
1359,1903.06607
1360,1803.06752
1361,1903.01342
1362,1803.05160
1363,1612.02590
1364,1607.08335
1365,1507.06056
1366,1810.07428
1367,2002.06961
1368,1704.04749
1369,1906.06070
1370,1406.1215
1371,1912.08324
1372,1303.6859
1373,1802.02731
1374,1909.11556
1375,1906.01211
1376,1909.02803
1377,1410.8853
1378,1805.08400
1379,1606.05328
1380,1212.4483
1381,1311.3715
1382,1901.09193
1383,1304.6420
1384,1006.5827
1385,2001.07077
1386,1708.05071
1387,1511.04594
1388,2005.03089
1389,1906.01230
1390,1709.07601
1391,1304.5504
1392,1908.09936
1393,1909.06499
1394,2003.07529
1395,1107.0336
1396,1711.03430
1397,1109.2752
1398,2001.04644
1399,1901.05376
1400,1708.02114
1401,1605.07025
1402,1905.02838
1403,1910.03213
1404,1902.10646
1405,1403.5508
1406,1708.00415
1407,1605.08108
1408,1912.01172
1409,2006.03349
1410,1506.05573
1411,2002.05519
1412,1505.04514
1413,1906.02287
1414,1907.04091
1415,1001.0830
1416,1802.02085
1417,1709.00627
1418,1711.07280
1419,1911.03749
1420,1812.09658
1421,1910.09589
1422,1901.08840
1423,1806.10761
1424,1909.00939
1425,1809.03891
1426,1109.2158
1427,2007.04831
1428,1807.00129
1429,1105.2048
1430,1612.08012
1431,2005.04399
1432,1812.02987
1433,1111.6116
1434,2004.08828
1435,1511.07803
1436,1605.05566
1437,1903.05284
1438,0902.1809
1439,2002.07916
1440,1505.01619
1441,1205.4067
1442,1711.04611
1443,1505.02371
1444,1808.04610
1445,1807.03671
1446,1705.00058
1447,cs0701121
1448,2001.09766
1449,1504.01842
1450,1803.00796
1451,1912.05566
1452,1703.09775
1453,1903.03906
1454,1911.10517
1455,1001.0393
1456,2003.06628
1457,1903.07703
1458,1708.04400
1459,1603.06121
1460,1910.06840
1461,1905.11141
1462,1805.02836
1463,1104.4427
1464,1110.6287
1465,1905.05392
1466,1907.04072
1467,1904.08575
1468,2002.12197
1469,1001.0833
1470,1808.06049
1471,1802.04181
1472,1805.06728
1473,1908.09407
1474,1511.00346
1475,1809.08587
1476,2005.02623
1477,1912.06474
1478,2006.00518
1479,1912.13181
1480,1809.08909
1481,1309.7828
1482,1608.05104
1483,1405.2452
1484,1808.07185
1485,1810.06544
1486,1704.01074
1487,cs0601009
1488,1603.06180
1489,2007.05520
1490,1305.6355
1491,1908.00286
1492,1709.03629
1493,1802.07417
1494,1912.06944
1495,1805.03919
1496,1911.09277
1497,1811.12721
1498,1808.06045
1499,1904.10873
1500,1212.1909
1501,1809.05214
1502,1907.01341
1503,1911.05920
1504,1712.08604
1505,1509.07206
1506,2007.08663
1507,1302.3020
1508,1911.02277
1509,1607.06833
1510,2007.06516
1511,2002.08724
1512,1511.05259
1513,1702.04082
1514,1503.05971
1515,1904.11041
1516,1407.1502
1517,2007.11740
1518,1410.5303
1519,1504.05218
1520,1808.03915
1521,1909.09213
1522,1902.00528
1523,1910.01443
1524,2001.10657
1525,1806.08083
1526,2007.05156
1527,1904.11740
1528,1812.10519
1529,1710.08491
1530,1602.06652
1531,1507.08075
1532,1803.05652
1533,2005.07460
1534,1405.4534
1535,1911.06949
1536,1904.11953
1537,1604.03584
1538,1311.6304
1539,1904.09381
1540,1307.3681
1541,1707.05714
1542,1602.04278
1543,2001.02545
1544,2006.03347
1545,1903.05992
1546,1605.02216
1547,1806.04478
1548,1107.5620
1549,1810.07399
1550,1708.09827
1551,2002.00571
1552,1706.04048
1553,2001.07679
1554,2002.04654
1555,2004.13288
1556,1708.08728
1557,2004.08450
1558,1707.05972
1559,1310.4545
1560,1903.00994
1561,1704.08397
1562,1505.01303
1563,1504.06954
1564,1504.04662
1565,1907.01108
1566,1910.06663
1567,1302.3700
1568,1805.06217
1569,1804.10805
1570,1807.07306
1571,1409.8028
1572,1803.01980
1573,1802.07606
1574,1912.03395
1575,1907.06013
1576,1703.01847
1577,1805.10572
1578,1509.03527
1579,1705.09366
1580,1810.03758
1581,1803.10133
1582,1201.2564
1583,1212.5204
1584,1601.05647
1585,1511.03003
1586,1804.06087
1587,1708.01384
1588,1712.09381
1589,1810.02695
1590,1608.08052
1591,2007.06622
1592,1902.02010
1593,1101.2162
1594,1705.09404
1595,2002.08235
1596,1404.2138
